store|cash_machine|business_date|item|quantity|unit_prince|line_amount|tran_seq_no|line_seq_no
1001|1|14/01/2022 10:48:20|20|1|10.00|10.00|353|132
1001|1|14/01/2022 10:48:20|33|1|15.00|15.00|354|132
1001|1|14/01/2022 10:48:20|310|1|-1.39|-1.39|355|132
1001|1|14/01/2022 10:49:26|310|1|-0.28|-0.28|356|133
1001|1|14/01/2022 10:49:26|173|1|3.00|3.00|357|133
1001|1|14/01/2022 10:49:26|230|1|21.00|21.00|358|133
1001|1|14/01/2022 10:50:26|71|2|44.60|89.20|359|134
1001|1|14/01/2022 10:50:26|70|2|44.60|89.20|360|134
1001|1|14/01/2022 10:50:26|173|1|3.00|3.00|361|134
1001|1|14/01/2022 10:50:26|310|1|-0.28|-0.28|362|134
1001|1|14/01/2022 10:51:34|230|1|21.00|21.00|363|135
1001|1|14/01/2022 10:51:34|170|1|1.50|1.50|364|135
1001|1|14/01/2022 10:53:11|310|1|-4.46|-4.46|365|136
1001|1|14/01/2022 10:53:11|120|1|12.00|12.00|366|136
1001|1|14/01/2022 10:53:11|30|1|15.00|15.00|367|136
1001|1|14/01/2022 10:53:11|170|1|1.50|1.50|368|136
1001|1|14/01/2022 15:48:03|310|1|-7.25|-7.25|369|143
1001|1|14/01/2022 15:48:03|170|1|1.50|1.50|370|143
1001|1|14/01/2022 15:48:03|23|1|10.00|10.00|371|143
1001|1|14/01/2022 15:48:03|111|1|34.50|34.50|372|143
1001|1|14/01/2022 15:48:50|53|1|15.00|15.00|373|144
1001|1|14/01/2022 15:48:50|170|1|1.50|1.50|374|144
1001|1|14/01/2022 16:03:42|53|2|10.59|21.19|375|145
1001|1|14/01/2022 16:03:42|50|4|12.78|51.12|376|145
1001|1|14/01/2022 16:03:42|171|1|2.00|2.00|377|145
1001|1|14/01/2022 16:05:05|30|1|15.00|15.00|378|146
1001|1|14/01/2022 16:05:05|310|1|-4.46|-4.46|379|146
1001|1|14/01/2022 16:05:05|23|1|10.00|10.00|380|146
1001|1|14/01/2022 16:05:05|170|1|1.50|1.50|381|146
1001|1|14/01/2022 16:07:57|30|1|15.00|15.00|382|147
1001|1|14/01/2022 16:07:57|170|1|1.50|1.50|383|147
1001|1|14/01/2022 16:07:57|310|1|-4.46|-4.46|384|147
1001|1|14/01/2022 16:07:57|23|1|10.00|10.00|385|147
1001|1|14/01/2022 16:17:00|50|1|15.00|15.00|386|148
1001|1|14/01/2022 16:17:00|310|1|-5.58|-5.58|387|148
1001|1|14/01/2022 16:17:00|33|1|15.00|15.00|388|148
1001|1|14/01/2022 16:40:52|25|2|7.25|14.50|389|149
1001|1|14/01/2022 16:40:52|121|1|8.00|8.00|390|149
1001|1|14/01/2022 16:40:52|21|1|7.00|7.00|391|149
1001|1|14/01/2022 16:40:52|310|1|-8.92|-8.92|392|149
1001|1|14/01/2022 16:40:52|21|4|8.74|34.97|393|149
1001|1|14/01/2022 16:40:52|310|1|-7.81|-7.81|394|149
1001|1|14/01/2022 16:40:52|24|4|8.74|34.97|395|149
1001|1|14/01/2022 16:40:52|120|1|8.00|8.00|396|149
1001|1|14/01/2022 16:40:52|122|4|10.76|43.04|397|149
1001|1|14/01/2022 16:40:52|173|1|3.00|3.00|398|149
1001|1|14/01/2022 16:40:52|120|4|10.76|43.04|399|149
1001|1|14/01/2022 16:40:52|124|1|8.00|8.00|400|149
1001|1|14/01/2022 16:40:52|23|10|13.23|132.30|401|149
1001|1|15/01/2022 09:17:30|50|1|15.00|15.00|402|155
1001|1|15/01/2022 09:32:25|171|1|2.00|2.00|403|156
1001|1|15/01/2022 09:32:25|81|3|41.21|123.62|404|156
1001|1|15/01/2022 09:32:25|80|1|33.50|33.50|405|156
1001|1|15/01/2022 09:32:25|100|1|0.00|0.00|406|156
1001|1|15/01/2022 09:41:45|110|4|34.97|139.89|407|157
1001|1|15/01/2022 09:41:45|111|2|28.99|57.98|408|157
1001|1|15/01/2022 09:41:45|113|2|28.99|57.98|409|157
1001|1|15/01/2022 09:41:45|171|1|2.00|2.00|410|157
1001|1|15/01/2022 09:43:37|310|1|-5.58|-5.58|411|158
1001|1|15/01/2022 09:43:37|50|2|16.73|33.45|412|158
1001|1|15/01/2022 09:43:37|170|1|1.50|1.50|413|158
1001|1|15/01/2022 09:50:03|24|1|10.00|10.00|414|159
1001|1|15/01/2022 09:50:03|33|1|15.00|15.00|415|159
1001|1|15/01/2022 09:50:03|310|1|-4.46|-4.46|416|159
1001|1|15/01/2022 09:50:03|170|1|1.50|1.50|417|159
1001|1|15/01/2022 09:53:37|30|1|15.00|15.00|418|160
1001|1|15/01/2022 09:53:37|170|1|1.50|1.50|419|160
1001|1|15/01/2022 09:53:37|120|1|12.00|12.00|420|160
1001|1|15/01/2022 09:53:37|310|1|-4.46|-4.46|421|160
1001|1|15/01/2022 09:55:37|170|1|1.50|1.50|422|161
1001|1|15/01/2022 09:55:37|30|1|15.00|15.00|423|161
1001|1|15/01/2022 09:55:37|100|1|0.00|0.00|424|161
1001|1|15/01/2022 11:06:52|20|1|10.00|10.00|425|162
1001|1|15/01/2022 11:26:00|53|2|10.59|21.19|426|163
1001|1|15/01/2022 11:26:00|21|1|7.00|7.00|427|163
1001|1|15/01/2022 11:26:00|50|1|9.50|9.50|428|163
1001|1|15/01/2022 11:30:15|71|1|40.00|40.00|429|164
